id,title,genres,cast,overview,production_companies,director_name
1452,Superman Returns,"['Adventure', 'Fantasy', 'Action', 'Science Fiction']","['Superman / Clark Kent', 'Lex Luthor']",superman returns to discover his 5year absence has allowed lex luthor to walk free and that those he was closest too felt abandoned and have moved on luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever as well as ridding himself of the man of steel,"['DC Comics', 'Legendary Pictures', 'Warner Bros.', 'Bad Hat Harry Productions']",['Bryan Singer']
10764,Quantum of Solace,"['Adventure', 'Action', 'Thriller', 'Crime']","['James Bond', 'Camille Montes']",quantum of solace continues the adventures of james bond after casino royale betrayed by vesper the woman he loved 007 fights the urge to make his latest mission personal pursuing his determination to uncover the truth bond and m interrogate mr white who reveals that the organization that blackmailed vesper is far more complex and dangerous than anyone had imagined,['Eon Productions'],['Marc Forster']
58,Pirates of the Caribbean: Dead Man's Chest,"['Adventure', 'Fantasy', 'Action']","['Captain Jack Sparrow', 'Will Turner']",captain jack sparrow works his way out of a blood debt with the ghostly davey jones he also attempts to avoid eternal damnation,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']",['Gore Verbinski']
57201,The Lone Ranger,"['Action', 'Adventure', 'Western']","['Tonto', 'John Reid / The Lone Ranger']",the texas rangers chase down a gang of outlaws led by butch cavendish but the gang ambushes the rangers seemingly killing them all one survivor is found however by an american indian named tonto who nurses him back to health the ranger donning a mask and riding a white stallion named silver teams up with tonto to bring the unscrupulous gang and others of that ilk to justice,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Infinitum Nihil', 'Silver Bullet Productions (II)', 'Blind Wink Productions', 'Classic Media']",['Gore Verbinski']
49521,Man of Steel,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","['Clark Kent / Kal-El', 'Lois Lane']",a young boy learns that he has extraordinary powers and is not of this earth as a young man he journeys to discover where he came from and what he was sent here to do but the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind,"['Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy', 'Cruel and Unusual Films']",['Zack Snyder']
2454,The Chronicles of Narnia: Prince Caspian,"['Adventure', 'Family', 'Fantasy']","['Prince Caspian', 'Peter Pevensie']",one year after their incredible adventures in the lion the witch and the wardrobe peter edmund lucy and susan pevensie return to narnia to aid a young prince whose life has been threatened by the evil king miraz now with the help of a colorful cast of new characters including trufflehunter the badger and nikabrik the dwarf the pevensie clan embarks on an incredible quest to ensure that narnia is returned to its rightful heir,"['Walt Disney', 'Walden Media', 'Stillking Films', 'Ozumi Films', 'Propeler', 'Silverbell Films', 'Revolution Sun Studios']",['Andrew Adamson']
24428,The Avengers,"['Science Fiction', 'Action', 'Adventure']","['Tony Stark / Iron Man', 'Steve Rogers / Captain America']",when an unexpected enemy emerges and threatens global safety and security nick fury director of the international peacekeeping agency known as shield finds himself in need of a team to pull the world back from the brink of disaster spanning the globe a daring recruitment effort begins,"['Paramount Pictures', 'Marvel Studios']",['Joss Whedon']
1865,Pirates of the Caribbean: On Stranger Tides,"['Adventure', 'Action', 'Fantasy']","['Captain Jack Sparrow', 'Angelica Teach']",captain jack sparrow crosses paths with a woman from his past and hes not sure if its love  or if shes a ruthless con artist whos using him to find the fabled fountain of youth when she forces him aboard the queen annes revenge the ship of the formidable pirate blackbeard jack finds himself on an unexpected adventure in which he doesnt know who to fear more blackbeard or the woman from his past,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Moving Picture Company (MPC)']",['Rob Marshall']
41154,Men in Black 3,"['Action', 'Comedy', 'Science Fiction']","['Agent J', 'Agent K']",agents j will smith and k tommy lee jones are backin time j has seen some inexplicable things in his 15 years with the men in black but nothing not even aliens perplexes him as much as his wry reticent partner but when ks life and the fate of the planet are put at stake agent j will have to travel back in time to put things right j discovers that there are secrets to the universe that k never told him  secrets that will reveal themselves as he teams up with the young agent k josh brolin to save his partner the agency and the future of humankind,"['Amblin Entertainment', 'Media Magik Entertainment', 'Imagenation Abu Dhabi FZ', 'Hemisphere Media Capital', 'Parkes/MacDonald Productions']",['Barry Sonnenfeld']
122917,The Hobbit: The Battle of the Five Armies,"['Action', 'Adventure', 'Fantasy']","['Bilbo Baggins', 'Gandalf']",immediately after the events of the desolation of smaug bilbo and the dwarves try to defend erebors mountain of treasure from others who claim it the men of the ruined laketown and the elves of mirkwood meanwhile an army of orcs led by azog the defiler is marching on erebor fueled by the rise of the dark lord sauron dwarves elves and men must unite and the hope for middleearth falls into bilbos hands,"['WingNut Films', 'New Line Cinema', 'Warner Bros. Pictures', '3Foot7', 'Metro-Goldwyn-Mayer (MGM)']",['Peter Jackson']
1930,The Amazing Spider-Man,"['Action', 'Adventure', 'Fantasy']","['Peter Parker / Spider-Man', 'Gwen Stacy']",peter parker is an outcast high schooler abandoned by his parents as a boy leaving him to be raised by his uncle ben and aunt may like most teenagers peter is trying to figure out who he is and how he got to be the person he is today as peter discovers a mysterious briefcase that belonged to his father he begins a quest to understand his parents disappearance  leading him directly to oscorp and the lab of dr curt connors his fathers former partner as spiderman is set on a collision course with connors alter ego the lizard peter will make lifealtering choices to use his powers and shape his destiny to become a hero,"['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Entertainment']",['Marc Webb']
20662,Robin Hood,"['Action', 'Adventure']","['Robin Longstride', 'Marion Loxley']",when soldier robin happens upon the dying robert of loxley he promises to return the mans sword to his family in nottingham there he assumes roberts identity romances his widow marion and draws the ire of the towns sheriff and king johns henchman godfrey,"['Imagine Entertainment', 'Universal Pictures', 'Scott Free Productions', 'Relativity Media']",['Ridley Scott']
57158,The Hobbit: The Desolation of Smaug,"['Adventure', 'Fantasy']","['Bilbo Baggins', 'Gandalf']",the dwarves bilbo and gandalf have successfully escaped the misty mountains and bilbo has gained the one ring they all continue their journey to get their gold back from the dragon smaug,"['WingNut Films', 'New Line Cinema', 'Warner Bros. Pictures', 'Metro-Goldwyn-Mayer (MGM)']",['Peter Jackson']
2268,The Golden Compass,"['Adventure', 'Fantasy']","['Lyra Belacqua', 'Marisa Coulter']",after overhearing a shocking secret precocious orphan lyra belacqua trades her carefree existence roaming the halls of jordan college for an otherworldly adventure in the far north unaware that its part of her destiny,"['New Line Cinema', 'Ingenious Film Partners', 'Depth of Field', 'Scholastic Productions']",['Chris Weitz']
254,King Kong,"['Adventure', 'Drama', 'Action']","['Ann Darrow', 'Carl Denham']",in 1933 new york an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious skull island where they encounter kong a giant ape who is immediately smitten with the leading lady,"['WingNut Films', 'Universal Pictures', 'Big Primate Pictures', 'MFPV Film']",['Peter Jackson']
597,Titanic,"['Drama', 'Romance', 'Thriller']","['Rose DeWitt Bukater', 'Jack Dawson']",84 years later a 101yearold woman named rose dewitt bukater tells the story to her granddaughter lizzy calvert brock lovett lewis bodine bobby buell and anatoly mikailavich on the keldysh about her life set in april 10th 1912 on a ship called titanic when young rose boards the departing ship with the upperclass passengers and her mother ruth dewitt bukater and her fiancé caledon hockley meanwhile a drifter and artist named jack dawson and his best friend fabrizio de rossi win thirdclass tickets to the ship in a game and she explains the whole story from departure until the death of titanic on its first and last voyage april 15th 1912 at 220 in the morning,"['Paramount Pictures', 'Twentieth Century Fox Film Corporation', 'Lightstorm Entertainment']",['James Cameron']
271110,Captain America: Civil War,"['Adventure', 'Action', 'Science Fiction']","['Steve Rogers / Captain America', 'Tony Stark / Iron Man']",following the events of age of ultron the collective governments of the world pass an act designed to regulate all superhuman activity this polarizes opinion amongst the avengers causing two factions to side with iron man or captain america which causes an epic battle between former allies,"['Studio Babelsberg', 'Marvel Studios', 'Walt Disney Studios Motion Pictures', 'Vita-Ray Dutch Productions (III)', 'Deluxe Digital Studios']","['Anthony Russo', 'Joe Russo']"
44833,Battleship,"['Thriller', 'Action', 'Adventure', 'Science Fiction']","['Lieutenant Alex Hopper', 'Commander Stone Hopper']",when mankind beams a radio signal into space a reply comes from planet g in the form of several alien crafts that splash down in the waters off hawaii lieutenant alex hopper is a weapons officer assigned to the uss john paul jones part of an international naval coalition which becomes the worlds last hope for survival as they engage the hostile alien force of unimaginable strength while taking on the invaders hopper must also try to live up to the potential his brother and his fiancées father admiral shane expect of him,"['Universal Pictures', 'Hasbro', 'Bluegrass Films', 'Film 44']",['Peter Berg']
135397,Jurassic World,"['Action', 'Adventure', 'Science Fiction', 'Thriller']","['Owen Grady', 'Claire Dearing']",twentytwo years after the events of jurassic park isla nublar now features a fully functioning dinosaur theme park jurassic world as originally envisioned by john hammond,"['Universal Studios', 'Amblin Entertainment', 'Legendary Pictures', 'Fuji Television Network', 'Dentsu']",['Colin Trevorrow']
37724,Skyfall,"['Action', 'Adventure', 'Thriller']","['James Bond', 'M']",when bonds latest assignment goes gravely wrong and agents around the world are exposed mi6 is attacked forcing m to relocate the agency these events cause her authority and position to be challenged by gareth mallory the new chairman of the intelligence and security committee with mi6 now compromised from both inside and out m is left with one ally she can trust bond 007 takes to the shadows  aided only by field agent eve  following a trail to the mysterious silva whose lethal and hidden motives have yet to reveal themselves,['Columbia Pictures'],['Sam Mendes']
558,Spider-Man 2,"['Action', 'Adventure', 'Fantasy']","['Peter Parker / Spider-Man', 'Mary Jane Watson']",peter parker is going through a major identity crisis burned out from being spiderman he decides to shelve his superhero alter ego which leaves the city suffering in the wake of carnage left by the evil doc ock in the meantime parker still cant act on his feelings for mary jane watson a girl hes loved since childhood,"['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Enterprises']",['Sam Raimi']
68721,Iron Man 3,"['Action', 'Adventure', 'Science Fiction']","['Tony Stark / Iron Man', 'Virginia ""Pepper"" Potts']",when tony starks world is torn apart by a formidable terrorist called the mandarin he starts an odyssey of rebuilding and retribution,['Marvel Studios'],['Shane Black']
12155,Alice in Wonderland,"['Family', 'Fantasy', 'Adventure']","['Alice Kingsleigh', 'The Mad Hatter']",alice an unpretentious and individual 19yearold is betrothed to a dunce of an english nobleman at her engagement party she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit arriving in a strange and surreal place called underland she finds herself in a world that resembles the nightmares she had as a child filled with talking animals villainous queens and knights and frumious bandersnatches alice realizes that she is there for a reason  to conquer the horrific jabberwocky and restore the rightful queen to her throne,"['Walt Disney Pictures', 'Team Todd', 'Tim Burton Productions', 'Roth Films', 'Zanuck Company, The']",['Tim Burton']
36668,X-Men: The Last Stand,"['Adventure', 'Action', 'Science Fiction', 'Thriller']","['Logan / Wolverine', 'Ororo Munroe / Storm']",when a cure is found to treat mutations lines are drawn amongst the xmen and the brotherhood a band of powerful mutants organized under xaviers former ally magneto,"['Ingenious Film Partners', 'Twentieth Century Fox Film Corporation', ""Donners' Company"", 'Dune Entertainment', 'Major Studio Partners', 'Bad Hat Harry Productions', 'thinkfilm', 'Marvel Enterprises', 'X3 Canada Productions', 'X3US Productions', 'XM3 Service']",['Brett Ratner']
62211,Monsters University,"['Animation', 'Family']","['Michael ""Mike"" Wazowski (voice)', 'James P. ""Sulley"" Sullivan (voice)']",a look at the relationship between mike and sulley during their days at monsters university  when they werent necessarily the best of friends,"['Walt Disney Pictures', 'Pixar Animation Studios']",['Dan Scanlon']
8373,Transformers: Revenge of the Fallen,"['Science Fiction', 'Action', 'Adventure']","['Sam Witwicky', 'Mikaela Banes']",sam witwicky leaves the autobots behind for a normal life but when his mind is filled with cryptic symbols the decepticons target him and he is dragged back into the transformers war,"['Paramount Pictures', 'DreamWorks SKG', 'Amblin Entertainment', 'Di Bonaventura Pictures', 'Platinum Dunes', 'Hasbro Studios', 'Revolution Sun Studios']",['Michael Bay']
91314,Transformers: Age of Extinction,"['Science Fiction', 'Action', 'Adventure']","['Cade Yeager', 'Joshua']",as humanity picks up the pieces following the conclusion of transformers dark of the moon autobots and decepticons have all but vanished from the face of the planet however a group of powerful ingenious businessman and scientists attempt to learn from past transformer incursions and push the boundaries of technology beyond what they can control  all while an ancient powerful transformer menace sets earth in his crosshairs,"['Paramount Pictures', 'Amblin Entertainment', 'Di Bonaventura Pictures', 'Platinum Dunes', 'China Movie Channel', 'Hasbro Studios', 'Ian Bryce Productions', 'Revolution Sun Studios']",['Michael Bay']
68728,Oz: The Great and Powerful,"['Fantasy', 'Adventure', 'Family']","['Oz', 'Theodora']",oscar diggs a smalltime circus illusionist and conartist is whisked from kansas to the land of oz where the inhabitants assume hes the great wizard of prophecy there to save oz from the clutches of evil,"['Walt Disney Pictures', 'Roth Films']",['Sam Raimi']
102382,The Amazing Spider-Man 2,"['Action', 'Adventure', 'Fantasy']","['Peter Parker / Spider-Man', 'Gwen Stacy']",for peter parker life is busy between taking out the bad guys as spiderman and spending time with the person he loves gwen stacy high school graduation cannot come quickly enough peter has not forgotten about the promise he made to gwens father to protect her by staying away but that is a promise he cannot keep things will change for peter when a new villain electro emerges an old friend harry osborn returns and peter uncovers new clues about his past,"['Columbia Pictures', 'Marvel Enterprises', 'Avi Arad Productions', 'Matt Tolmach Productions']",['Marc Webb']
20526,TRON: Legacy,"['Adventure', 'Action', 'Science Fiction']","['Sam Flynn', 'Kevin Flynn / Clu']",sam flynn the techsavvy and daring son of kevin flynn investigates his fathers disappearance and is pulled into the grid with the help of a mysterious program named quorra sam quests to stop evil dictator clu from crossing into the real world,"['Walt Disney Pictures', 'LivePlanet', 'Prana Studios', 'Sean Bailey Productions', 'Revolution Sun Studios', 'Kontsept Film Company']",['Joseph Kosinski']
49013,Cars 2,"['Animation', 'Family', 'Adventure', 'Comedy']","['Lightning McQueen (voice)', 'Mater (voice)']",star race car lightning mcqueen and his pal mater head overseas to compete in the world grand prix race but the road to the championship becomes rocky as mater gets caught up in an intriguing adventure of his own international espionage,"['Walt Disney Pictures', 'Pixar Animation Studios']","['John Lasseter', 'Brad Lewis']"
44912,Green Lantern,"['Adventure', 'Action', 'Thriller', 'Science Fiction']","['Hal Jordan / Green Lantern', 'Carol Ferris']",for centuries a small but powerful force of warriors called the green lantern corps has sworn to keep intergalactic order each green lantern wears a ring that grants him superpowers but when a new enemy called parallax threatens to destroy the balance of power in the universe their fate and the fate of earth lie in the hands of the first human ever recruited,"['De Line Pictures', 'Warner Bros.', 'DC Entertainment']",['Martin Campbell']
10193,Toy Story 3,"['Animation', 'Family', 'Comedy']","['Woody (voice)', 'Buzz Lightyear (voice)']",woody buzz and the rest of andys toys havent been played with in years with andy about to go to college the gang find themselves accidentally left at a nefarious day care center the toys must band together to escape and return home to andy,"['Walt Disney Pictures', 'Pixar Animation Studios']",['Lee Unkrich']
534,Terminator Salvation,"['Action', 'Science Fiction', 'Thriller']","['John Connor', 'Marcus Wright']",all grown up in postapocalyptic 2018 john connor must lead the resistance of humans against the increasingly dominating militaristic robots but when marcus wright appears his existence confuses the mission as connor tries to determine whether wright has come from the future or the past  and whether hes friend or foe,"['Columbia Pictures', 'The Halcyon Company', 'Wonderland Sound and Vision', 'Warner Bros.']",['McG']
168259,Furious 7,['Action'],"['Dominic Toretto', ""Brian O'Conner""]",deckard shaw seeks revenge against dominic toretto and his family for his comatose brother,"['Universal Pictures', 'Original Film', 'Fuji Television Network', 'Dentsu', 'One Race Films', 'China Film Co.', 'Québec Production Services Tax Credit', 'Media Rights Capital (MRC)', 'Abu Dhabi Film Commission', 'Colorado Office of Film, Television & Media']",['James Wan']
72190,World War Z,"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']","['Gerry Lane', 'Karen Lane']",life for former united nations investigator gerry lane and his family seems content suddenly the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies after barely escaping the chaos lane is persuaded to go on a mission to investigate this disease what follows is a perilous trek around the world where lane must brave horrific dangers and long odds to find answers before human civilization falls,"['Paramount Pictures', 'GK Films', 'Skydance Productions', 'Hemisphere Media Capital', 'Apparatus Productions', 'Latina Pictures', '2DUX²']",['Marc Forster']
127585,X-Men: Days of Future Past,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","['Logan / Wolverine', 'Charles Xavier / Professor X (Young)']",the ultimate xmen ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past  to save our future,"['Twentieth Century Fox Film Corporation', ""Donners' Company"", 'Marvel Entertainment', 'Bad Hat Harry Productions', 'TSG Entertainment', 'Down Productions', 'Revolution Sun Studios']",['Bryan Singer']
54138,Star Trek Into Darkness,"['Action', 'Adventure', 'Science Fiction']","['James T. Kirk', 'Spock']",when the crew of the enterprise is called back home they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for leaving our world in a state of crisis  with a personal score to settle captain kirk leads a manhunt to a warzone world to capture a one man weapon of mass destruction as our heroes are propelled into an epic chess game of life and death love will be challenged friendships will be torn apart and sacrifices must be made for the only family kirk has left his crew,"['Paramount Pictures', 'Skydance Productions', 'Bad Robot', 'Kurtzman/Orci']",['J.J. Abrams']
81005,Jack the Giant Slayer,"['Action', 'Family', 'Fantasy']","['Jack', 'Princess Isabelle']",the story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants unleashed on the earth for the first time in centuries the giants strive to reclaim the land they once lost forcing the young man jack into the battle of his life to stop them fighting for a kingdom its people and the love of a brave princess he comes face to face with the unstoppable warriors he thought only existed in legendand gets the chance to become a legend himself,"['New Line Cinema', 'Original Film', 'Legendary Pictures', 'Warner Bros.', 'Big Kid Pictures', 'Bad Hat Harry Productions']",['Bryan Singer']
64682,The Great Gatsby,"['Drama', 'Romance']","['Jay Gatsby', 'Nick Carraway']",an adaptation of f scott fitzgeralds long islandset novel where midwesterner nick carraway is lured into the lavish world of his neighbor jay gatsby soon enough however carraway will see through the cracks of gatsbys nouveau riche existence where obsession madness and tragedy await,"['Village Roadshow Pictures', 'Bazmark Films', 'Warner Bros.', 'A&E Television Networks', 'Red Wagon Entertainment', 'Spectrum Films']",['Baz Luhrmann']
9543,Prince of Persia: The Sands of Time,"['Adventure', 'Fantasy', 'Action', 'Romance']","['Prince Dastan', 'Tamina']",a rogue prince reluctantly joins forces with a mysterious princess and together they race against dark forces to safeguard an ancient dagger capable of releasing the sands of time  gift from the gods that can reverse time and allow its possessor to rule the world,"['Walt Disney Pictures', 'Jerry Bruckheimer Films']",['Mike Newell']
68726,Pacific Rim,"['Action', 'Science Fiction', 'Adventure']","['Stacker Pentecost', 'Raleigh Becket']",when legions of monstrous creatures known as kaiju started rising from the sea a war began that would take millions of lives and consume humanitys resources for years on end to combat the giant kaiju a special type of weapon was devised massive robots called jaegers which are controlled simultaneously by two pilots whose minds are locked in a neural bridge but even the jaegers are proving nearly defenseless in the face of the relentless kaiju on the verge of defeat the forces defending mankind have no choice but to turn to two unlikely heroesa washedup former pilot charlie hunnam and an untested trainee rinko kikuchiwho are teamed to drive a legendary but seemingly obsolete jaeger from the past together they stand as mankinds last hope against the mounting apocalypse,"['Legendary Pictures', 'Warner Bros.', 'Disney Double Dare You (DDY)', 'Indochina Productions']",['Guillermo del Toro']
38356,Transformers: Dark of the Moon,"['Action', 'Science Fiction', 'Adventure']","['Sam Witwicky', 'Bruce Brazos']",sam witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of autobotleader optimus prime the film centers around the space race between the ussr and the usa suggesting there was a hidden transformers role in it all that remains one of the planets most dangerous secrets,"['Paramount Pictures', 'Di Bonaventura Pictures', 'Indochina Productions', 'Hasbro Studios']",['Michael Bay']
217,Indiana Jones and the Kingdom of the Crystal Skull,"['Adventure', 'Action']","['Indiana Jones', 'Irina Spalko']",set during the cold war the soviets  led by swordwielding irina spalko  are in search of a crystal skull which has supernatural powers related to a mystical lost city of gold after being captured and then escaping from them indy is coerced to head to peru at the behest of a young man whose friend  and indys colleague  professor oxley has been captured for his knowledge of the skulls whereabouts,"['Lucasfilm', 'Paramount Pictures']",['Steven Spielberg']
105864,The Good Dinosaur,"['Adventure', 'Animation', 'Family']","['Arlo (voice)', 'Spot (voice)']",an epic journey into the world of dinosaurs where an apatosaurus named arlo makes an unlikely human friend,"['Walt Disney Pictures', 'Pixar Animation Studios']",['Peter Sohn']
62177,Brave,"['Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy']","['Mérida (voice)', 'The Witch (voice)']",brave is set in the mystical scottish highlands where mérida is the princess of a kingdom ruled by king fergus and queen elinor an unruly daughter and an accomplished archer mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom in an attempt to set things right mérida seeks out an eccentric old wise woman and is granted an illfated wish also figuring into méridas quest  and serving as comic relief  are the kingdoms three lords the enormous lord macguffin the surly lord macintosh and the disagreeable lord dingwall,"['Walt Disney Pictures', 'Pixar Animation Studios']","['Brenda Chapman', 'Mark Andrews', 'Steve Purcell']"
188927,Star Trek Beyond,"['Action', 'Adventure', 'Science Fiction']","['James T. Kirk', 'Spock']",the uss enterprise crew explores the furthest reaches of uncharted space where they encounter a mysterious new enemy who puts them and everything the federation stands for to the test,"['Paramount Pictures', 'Bad Robot', 'Perfect Storm Entertainment', 'Alibaba Pictures Group', 'Skydance Media', 'Sneaky Shark', 'Huahua Media']",['Justin Lin']
10681,WALL·E,"['Animation', 'Family']","['WALL·E / M-O (voice)', 'EVE (voice)']",walle is the last robot left on an earth that has been overrun with garbage and all humans have fled to outer space for 700 years he has continued to try and clean up the mess but has developed some rather interesting humanlike qualities when a ship arrives with a sleek new type of robot walle thinks hes finally found a friend and stows away on the ship when it leaves,"['Walt Disney Pictures', 'Pixar Animation Studios', 'FortyFour Studios']",['Andrew Stanton']
5174,Rush Hour 3,"['Action', 'Comedy', 'Crime', 'Thriller']","['Det. James Carter', 'Chief Insp. Lee']",after an attempted assassination on ambassador han inspector lee and detective carter are back in action as they head to paris to protect a french woman with knowledge of the triads secret leaders lee also holds secret meetings with a united nations authority but his personal struggles with a chinese criminal mastermind named kenji which reveals that its lees longlostbrother,['New Line Cinema'],['Brett Ratner']
14161,2012,"['Action', 'Adventure', 'Science Fiction']","['Jackson Curtis', 'Kate Curtis']",dr adrian helmsley part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms learns that the earths core is heating up he warns us president thomas wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the worlds population the entire race is doomed meanwhile writer jackson curtis stumbles on the same information while the worlds leaders race to build arks to escape the impending cataclysm curtis struggles to find a way to save his family meanwhile volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world,"['Columbia Pictures', 'Centropolis Entertainment', 'The Mark Gordon Company', 'Farewell Productions']",['Roland Emmerich']
17979,A Christmas Carol,"['Animation', 'Drama']","['Tiny Tim, Bob Cratchit, Marley', 'Ebenezer Scrooge, Ghost of Christmas Past, Ghost of Christmas Present, Ghost of Christmas Yet To Come']",miser ebenezer scrooge is awakened on christmas eve by spirits who reveal to him his own miserable existence what opportunities he wasted in his youth his current cruelties and the dire fate that awaits him if he does not change his ways scrooge is faced with his own story of growing bitterness and meanness and must decide what his own future will hold death or redemption,"['Walt Disney', 'ImageMovers']",['Robert Zemeckis']
76757,Jupiter Ascending,"['Science Fiction', 'Fantasy', 'Action', 'Adventure']","['Jupiter Jones', 'Caine Wise']",in a universe where human genetic material is the most precious commodity an impoverished young earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty,"['Village Roadshow Pictures', 'Dune Entertainment', 'Anarchos Productions', 'Warner Bros.']","['Lilly Wachowski', 'Lana Wachowski']"
258489,The Legend of Tarzan,"['Action', 'Adventure']","['John Clayton / Tarzan', 'Jane Porter']",tarzan having acclimated to life in london is called back to his former home in the jungle to investigate the activities at a mining encampment,"['Village Roadshow Pictures', 'Dark Horse Entertainment', 'Jerry Weintraub Productions', 'RatPac-Dune Entertainment', 'Beagle Pug Films', 'Riche Productions', 'Village Roadshow Films North America']",['David Yates']
